,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp (F),Wind Speed
432,Andros,20,GR,88,37.83,24.93,62.6,10.29
433,Miranda,88,BR,80,-20.24,-56.38,82.4,4.85
434,Ravels,90,BE,100,51.37,4.99,39.2,6.93
435,Pacifica,20,US,58,37.61,-122.49,57.2,8.05
436,The Valley,20,AI,69,18.22,-63.06,84.2,9.17
437,Gibara,40,CU,69,21.11,-76.13,78.8,16.11
438,Rawson,0,AR,78,-43.3,-65.1,60.31,13.8
439,Borovoy,75,RU,84,55.43,86.08,8.6,11.18
440,Akdepe,90,TM,73,42.06,59.38,28.4,4.7
441,Nasturelu,8,RO,100,43.67,25.47,41.0,5.82
442,Key West,20,US,65,24.56,-81.78,80.6,6.93
443,Marawi,0,SD,53,18.48,31.82,69.75,10.33
444,Port Macquarie,75,AU,93,-31.43,152.92,64.4,5.82
445,Shingu,0,JP,100,33.73,135.98,56.7,1.61
446,Letnik,36,RU,90,46.01,41.27,40.55,9.89
447,Namibe,0,AO,100,-15.2,12.15,70.56,8.99
448,Goya,88,AR,90,-29.14,-59.26,75.33,5.08
449,Barra do Garcas,56,BR,91,-15.89,-52.26,79.02,3.96
450,Honiara,90,SB,94,-9.43,159.95,78.8,3.36
451,Bad Hersfeld,90,DE,98,50.87,9.7,32.0,1.12
452,Quelimane,0,MZ,83,-17.88,36.89,78.8,9.17
453,Gagny,90,FR,100,48.88,2.53,39.2,1.12
454,College,20,US,92,64.86,-147.8,10.4,2.73
455,Kavieng,92,PG,100,-2.57,150.8,81.45,16.6
456,Nizhnevartovsk,90,RU,86,60.93,76.55,28.4,11.18
457,Kutum,8,SD,31,14.2,24.67,54.68,9.33
458,Urengoy,92,RU,91,65.97,78.37,22.28,17.16
459,Vao,68,NC,100,-22.67,167.48,73.35,13.02
460,Katsina,68,NG,34,12.99,7.6,70.39,5.97
461,Kudahuvadhoo,36,MV,100,2.67,72.89,79.02,11.23
462,Kashiwazaki,0,JP,100,37.37,138.55,28.0,2.73
463,Hayesville,90,US,81,44.99,-122.98,48.2,6.93
464,Basoko,24,CD,92,1.24,23.62,73.58,4.18
465,Ambovombe,12,MG,93,-25.17,46.08,74.97,3.96
466,Sergeyevka,80,KZ,86,53.88,67.42,17.1,14.25
467,Puerto Penasco,44,MX,88,31.32,-113.53,72.55,4.52
468,Superior,90,US,64,46.72,-92.1,39.2,4.97
469,Luangwa,8,ZM,44,-15.62,30.42,78.48,5.3
470,Hofn,80,IS,100,64.25,-15.21,35.29,3.96
471,Tay Ninh,44,VN,95,11.3,106.1,73.58,3.62
472,Ixtapa,5,MX,58,20.7,-105.2,82.4,9.17
473,San Cristobal,75,EC,65,-0.9,-89.62,77.0,16.11
474,Pontes e Lacerda,0,BR,76,-15.23,-59.34,85.46,4.63
475,Mashpee,90,US,60,41.65,-70.48,44.6,3.36
476,Fort Nelson,75,CA,84,58.81,-122.7,-0.41,2.24
477,Olinda,40,BR,74,-8.01,-34.86,80.6,8.05
478,Penzance,75,GB,93,50.12,-5.54,46.4,4.7
479,Mitu,0,CO,72,1.2,-70.17,86.14,3.06
480,Kahramanmaras,44,TR,81,37.58,36.93,42.8,1.61
481,Sur,0,OM,100,22.57,59.53,72.95,12.46
482,Quang Ngai,92,VN,99,15.12,108.8,70.88,3.18
483,Gurupa,92,BR,49,-1.41,-51.64,90.95,10.78
484,Zhangye,0,CN,61,38.93,100.45,5.85,2.62
485,Narsaq,0,GL,92,60.92,-46.05,28.4,1.83
486,Katherine,40,AU,94,-14.47,132.27,77.0,0.6
487,Larsnes,75,NO,100,62.2,5.58,41.0,5.82
488,Jardim,80,BR,79,-21.48,-56.14,82.98,5.64
489,Owando,32,CG,95,-0.48,15.9,71.19,2.39
490,Alipur,0,PK,89,29.38,70.91,54.5,2.84
491,Sinnamary,20,GF,92,5.38,-52.95,82.08,14.58
492,Panguipulli,0,CL,64,-39.63,-72.33,69.8,10.29
493,Mitsamiouli,20,KM,88,-11.38,43.28,78.8,10.33
494,Road Town,40,VG,78,18.42,-64.62,82.4,5.82
495,Brae,88,GB,80,60.4,-1.35,44.6,6.93
496,Shannon,75,IE,93,52.7,-8.86,41.0,1.12
497,Juquitiba,90,BR,88,-23.93,-47.07,69.8,11.41
498,Usak,24,TR,89,38.67,29.41,38.8,2.62
499,Makakilo City,40,US,50,21.35,-158.09,78.8,11.41
